gloss,bbox,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id
,624,25,-1,1,6,32,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before%202-02xxXtC3G8c.mp4,0,5728
,327,25,-1,1,7,5,aslu,train,https://www.youtube.com/watch?v=TQMe2WDz9QE,1,5747
,15,25,-1,1,8,24,aslpro,train,http://www.aslpro.com/main/b/before.swf,1,5748
,167,25,-1,1,9,12,aslsearch,train,http://www.aslsearch.com/signs/videos/before3.mp4,0,5749
,171,25,-1,1,10,12,aslsearch,val,http://www.aslsearch.com/signs/videos/before.mp4,1,5750
,300,25,-1,1,11,46,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-kM8O_piLegw.mp4,1,5729
,712,25,-1,1,12,32,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-Se78WI3j-mI.mp4,1,5730
,190,25,-1,1,13,88,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BEFORE-37.mp4,1,65167
,570,25,-1,1,14,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4,0,5731
,103,25,-1,1,15,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466681314.2550.mp4,0,5732
,95,25,-1,1,16,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466681379.1244.mp4,1,5733
,129,25,-1,1,17,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1468755772.9751.mp4,0,5734
,30,25,-1,1,18,20,handspeak,test,https://www.handspeak.com/word/b/before-long.mp4,0,5735
,59,25,-1,1,19,14,handspeak,val,https://www.handspeak.com/word/b/before.mp4,1,5736
,386,25,-1,1,20,38,startasl,test,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/before.mp4,1,5727
,102,25,-1,1,21,20,handspeak,val,https://www.handspeak.com/word/b/before-past.mp4,0,5737
,74,25,-1,1,23,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/22/22829.mp4,1,5739
,90,25,-1,1,24,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/22/22831.mp4,1,5740
,65,25,-1,1,25,11,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/5/5971.mp4,0,5741
,67,25,-1,1,26,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6164.mp4,0,5742
,43,25,-1,1,27,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/9/9194.mp4,0,5743
chair,0,25,1889,1830,0,9,asl5200,test,https://www.youtube.com/watch?v=PPmQd2zWdP0,0,9847
,127,25,2231,2101,1,121,northtexas,train,https://www.youtube.com/watch?v=4Nh1iFv2BMc,0,70230
,340,25,51,1,2,115,lillybauer,train,https://www.youtube.com/watch?v=j2hvnGiBrRI,0,68580
,112,25,3209,3092,3,121,northtexas,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,0,70263
,229,25,-1,1,4,110,valencia-asl,train,https://www.youtube.com/watch?v=zICB0wesqvY,0,68019
,0,25,-1,1,6,72,aslpro,train,http://www.aslpro.com//main/c/chair_stacking.swf,0,9865
,18,25,-1,1,7,72,aslpro,train,http://www.aslpro.com/main/c/chair.swf,0,9866
,40,25,-1,1,8,0,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/74909.mp4,0,9848
,5,25,-1,1,9,72,aslpro,test,http://www.aslpro.com//main/c/chair_wood.swf,0,9867
,183,25,-1,1,11,12,aslsearch,train,http://www.aslsearch.com/signs/videos/chair.mp4,0,9869
,388,25,-1,1,12,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/chair.mp4,0,9849
,667,25,-1,1,13,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Chair-mVdtJjs-_20.mp4,0,9850
,102,25,-1,1,14,59,asldeafined,val,https://media.asldeafined.com/vocabulary/1466729509.9229.mp4,0,9851
,169,25,-1,1,15,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHAIR-378.mp4,0,65328
,60,25,-1,1,17,14,handspeak,train,https://www.handspeak.com/word/c/chair.mp4,0,9853
,81,25,-1,1,18,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/7/7821.mp4,0,9854
,288,25,-1,1,19,5,aslu,test,https://www.youtube.com/watch?v=8vc2vD9N4tk,0,9855
,273,25,-1,1,20,65,nabboud,train,https://www.youtube.com/watch?v=dXz1i9gTR4w,0,9856
,92,25,-1,1,21,109,asllex,val,https://youtu.be/K47c4lIJQvI,0,67483
,15,25,-1,1,22,72,aslpro,train,http://www.aslpro.com//main/c/chair_director.swf,0,9857
,0,25,-1,1,23,72,aslpro,train,http://www.aslpro.com//main/c/chair_folding.swf,0,9858
,0,25,-1,1,24,72,aslpro,train,http://www.aslpro.com//main/c/chair_lawn_folding.swf,0,9859
,1,25,-1,1,25,72,aslpro,train,http://www.aslpro.com//main/c/chair_lawn.swf,0,9860
,18,25,-1,1,26,72,aslpro,train,http://www.aslpro.com//main/c/chair_loveseat.swf,0,9861
,10,25,-1,1,27,72,aslpro,val,http://www.aslpro.com//main/c/chair_recliner.swf,0,9862
,5,25,-1,1,28,72,aslpro,train,http://www.aslpro.com//main/c/chair_rocking_1.swf,0,9863
go,0,25,926,887,0,9,asl5200,test,https://www.youtube.com/watch?v=YdHKN_wHZqo,0,24857
,268,25,-1,1,1,118,aslbrick,val,http://aslbricks.org/New/ASL-Videos/go.mp4,0,69345
,93,25,65,1,2,113,lillybauer,train,https://www.youtube.com/watch?v=7IkKMzvSsFM,0,68292
,79,25,-1,1,3,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23400.mp4,0,24955
,81,25,-1,1,4,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23401.mp4,0,24956
,187,25,-1,1,8,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/go.mp4,0,24941
,78,25,-1,1,9,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/23/23517.mp4,1,24960
,78,25,-1,1,10,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23517.mp4,1,24961
,88,25,-1,1,11,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23519.mp4,1,24962
,201,25,-1,1,15,65,nabboud,train,https://www.youtube.com/watch?v=jknOnIhAbNo,0,24965
,239,25,-1,1,19,5,aslu,train,https://www.youtube.com/watch?v=ZEyH-t5ALCs,0,24969
,239,25,-1,1,21,5,aslu,train,https://www.youtube.com/watch?v=ZEyH-t5ALCs,0,24970
,345,25,-1,1,22,65,nabboud,train,https://www.youtube.com/watch?v=ZyL9f_qoGug,0,24971
,2,25,-1,1,23,25,aslpro,train,http://www.aslpro.com/main/g/go.swf,1,24972
,149,25,-1,1,24,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GO/GO-469.mp4,0,65824
,229,25,-1,1,25,41,aslsearch,train,http://www.aslsearch.com/signs/videos/go.mp4,0,24973
,283,25,-1,1,26,52,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20go-c3j44FTrL9c.mp4,0,24943
,607,25,-1,1,29,31,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20To%20Go-BeOwDK5YI0U.mp4,0,24946
,58,25,-1,1,30,21,asldeafined,train,https://media.asldeafined.com/vocabulary/1468549286.5649.mp4,0,24947
,37,25,-1,1,31,14,handspeak,val,https://www.handspeak.com/word/g/go.mp4,0,24948
,37,25,-1,1,33,0,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/58507.mp4,0,24940
,106,25,-1,1,34,109,asllex,test,https://youtu.be/QfVrSA3yrSc,0,67715
,4,25,-1,1,35,14,handspeak,train,https://www.handspeak.com/word/g/go-to2.mp4,1,24950
,13,25,-1,1,36,20,handspeak,train,https://www.handspeak.com/word/g/go-to.mp4,0,24951
,32,25,-1,1,37,10,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/22/22235.mp4,1,24952
,79,25,-1,1,39,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23400.mp4,0,24954
clothes,0,25,3997,3938,0,9,asl5200,test,https://www.youtube.com/watch?v=PPmQd2zWdP0,0,11305
,348,25,51,1,1,115,lillybauer,train,https://www.youtube.com/watch?v=RVnoNW53qFU,0,68870
,210,25,-1,1,2,110,valencia-asl,train,https://www.youtube.com/watch?v=Xmrvvk8l3_w,0,68024
,0,25,-1,1,3,72,aslpro,train,http://www.aslpro.com//main/c/clothes.swf,0,11327
,14,25,-1,1,4,72,aslpro,train,http://www.aslpro.com//main/c/clothes_winter.swf,0,11328
,403,25,-1,1,5,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/clothes.mp4,0,11310
,12,25,-1,1,6,72,aslpro,train,http://www.aslpro.com//main/c/clothes_womens.swf,0,11329
,165,25,-1,1,7,12,aslsearch,train,http://www.aslsearch.com/signs/videos/clothes.mp4,0,11330
,70,25,-1,1,8,59,asldeafined,test,https://media.asldeafined.com/vocabulary/1466899298.7370.mp4,0,11311
,42,25,-1,1,9,20,handspeak,train,https://www.handspeak.com/word/c/clothes.mp4,0,11312
,56,25,-1,1,10,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6566.mp4,0,11313
,242,25,-1,1,11,5,aslu,val,https://www.youtube.com/watch?v=06hMAkUdQgg,0,11314
,341,25,-1,1,12,5,aslu,val,https://www.youtube.com/watch?v=15czV0-SagI,0,11315
,21,25,-1,1,13,42,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/399310.mp4,0,11309
,320,25,-1,1,14,5,aslu,train,https://www.youtube.com/watch?v=mda48XkT9gQ,0,11316
,3,25,-1,1,15,72,aslpro,train,http://www.aslpro.com//main/c/clothes_boys.swf,0,11317
,0,25,-1,1,16,72,aslpro,test,http://www.aslpro.com//main/c/clothes_designer.swf,0,11318
,12,25,-1,1,17,72,aslpro,val,http://www.aslpro.com//main/c/clothes_fall.swf,0,11319
,5,25,-1,1,18,72,aslpro,train,http://www.aslpro.com//main/c/clothes_girls.swf,0,11320
,7,25,-1,1,19,49,aslpro,train,http://www.aslpro.com//main/c/clothes_irregular.swf,0,11321
,3,25,-1,1,20,72,aslpro,train,http://www.aslpro.com//main/c/clothes_mens.swf,0,11322
,8,25,-1,1,21,72,aslpro,train,http://www.aslpro.com//main/c/clothes_petite.swf,0,11323
,0,25,-1,1,22,72,aslpro,train,http://www.aslpro.com//main/c/clothes_plus_size.swf,0,11324
,14,25,-1,1,23,72,aslpro,val,http://www.aslpro.com//main/c/clothes_spring.swf,0,11325
,13,25,-1,1,24,72,aslpro,train,http://www.aslpro.com//main/c/clothes_summer.swf,0,11326
who,0,25,2235,2159,0,9,asl5200,test,https://www.youtube.com/watch?v=A5dihMAjeTE,0,63219
,381,25,-1,1,1,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/who.mp4,0,69534
,343,25,54,1,2,115,lillybauer,train,https://www.youtube.com/watch?v=SQUHKsHMUiw,0,68890
,196,25,-1,1,3,111,valencia-asl,train,https://www.youtube.com/watch?v=Xx8ZjswBRLY,0,68183
,356,25,-1,1,4,5,aslu,train,https://www.youtube.com/watch?v=pBnGrdxhxHQ,0,63239
,333,25,-1,1,5,5,aslu,train,https://www.youtube.com/watch?v=_V31e361KV8,0,63240
,25,25,-1,1,6,87,aslpro,train,http://www.aslpro.com/main/w/who.swf,0,63241
,188,25,-1,1,7,12,aslsearch,train,http://www.aslsearch.com/signs/videos/who.mp4,0,63242
,235,25,-1,1,8,36,startasl,test,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/who.mp4,0,63226
,687,25,-1,1,9,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who%202-P20hHY3qUEQ.mp4,0,63227
,693,25,-1,1,10,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-rehp_kwiS-I.mp4,0,63228
,655,25,-1,1,11,4,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-wmIY6Yo-vp8.mp4,0,63229
,342,25,-1,1,12,46,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-xchfz0eTaP8.mp4,0,63230
,128,25,-1,1,13,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1468928348.68.mp4,0,63231
,165,25,-1,1,14,88,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-1430.mp4,0,66778
,112,25,-1,1,15,59,asldeafined,train,https://media.asldeafined.com/vocabulary/1539176590.1089.mp4,0,63232
,121,25,-1,1,16,14,handspeak,test,https://www.handspeak.com/word/w/who.mp4,0,63233
,173,25,-1,1,17,20,handspeak,val,https://www.handspeak.com/word/w/who-old.mp4,0,63234
,167,25,-1,1,18,88,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-2236.mp4,0,66779
,195,25,-1,1,19,93,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/WH/WHO-2283.mp4,0,66780
,35,25,-1,1,20,42,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/51811.mp4,0,63225
,115,25,-1,1,21,109,asllex,train,https://youtu.be/gDkZ2Zn3Sjg,0,67066
,81,25,-1,1,23,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/9/9019.mp4,0,63236
,82,25,-1,1,24,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/9/9020.mp4,0,63237
,373,25,-1,1,25,80,nabboud,train,https://www.youtube.com/watch?v=dnDu1DxXWo4,0,63238
candy,0,25,782,730,0,9,asl5200,train,https://www.youtube.com/watch?v=PPmQd2zWdP0,0,8909
,114,25,-1,1,1,109,valencia-asl,train,https://www.youtube.com/watch?v=LMQ4kaHPS48,1,68018
,126,25,5411,5286,2,121,northtexas,train,https://www.youtube.com/watch?v=pc0-gVEETVg,1,70326
,112,25,63,1,3,113,lillybauer,train,https://www.youtube.com/watch?v=PfobLrBH5G8,1,68790
,33,25,-1,1,4,49,aslpro,train,http://www.aslpro.com/main/c/candy.swf,0,8928
,153,25,-1,1,5,12,aslsearch,val,http://www.aslsearch.com/signs/videos/candy.mp4,1,8929
,163,25,-1,1,6,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/candy.mp4,1,8916
,784,25,-1,1,7,39,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy%2C%20It%27s%20Nothing%202-dsVi-FR4eBg.mp4,0,8917
,774,25,-1,1,8,39,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy%2C%20It%27s%20Nothing-YX3NQ7iEwiE.mp4,0,8918
,647,25,-1,1,9,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy-v1iNoQ1DZ7c.mp4,1,8919
,675,25,-1,1,10,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cute-Dl2ekdgVRTg.mp4,0,8920
,66,25,-1,1,11,17,asldeafined,train,https://media.asldeafined.com/vocabulary/1471144833.8086.mp4,1,8921
